"","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"12",12,"2017-01-17",8415.05,8440.85,8378.3,8388.8,140549707,8390.95,8426.7,8374.75,8418.7,135425266,NA,NA,NA,0.0763477249158497,0.00248565525060052,NA,51.9500000000007,NA,792503745,NA
"13",13,"2017-01-18",8408.95,8460.2,8397.45,8413.75,162965422,8415.05,8440.85,8378.3,8388.8,140549707,NA,NA,NA,0.0838557609225298,-0.00355793919879055,NA,62.5500000000011,NA,651954038,NA
"14",14,"2017-01-19",8418.4,8445.05,8404.3,8431.2,163295303,8408.95,8460.2,8397.45,8413.75,162965422,NA,NA,NA,0.0745828405582438,0.00296978950665405,NA,71.4000000000015,NA,814919460,NA
"15",15,"2017-01-20",8404.35,8423.45,8341,8343.85,188399181,8418.4,8445.05,8404.3,8431.2,163295303,NA,NA,NA,0.0692181382095802,0.00207183829480506,NA,40.75,NA,978214763,0.0889843510279225
"16",16,"2017-01-23",8329.6,8403.95,8328.05,8398,197522658,8404.35,8423.45,8341,8343.85,188399181,NA,66.6734177215188,NA,0.0966331061839704,-0.0104143700901602,NA,90.2000000000007,NA,789815582,0.373455304124538
"17",17,"2017-01-24",8407.05,8480.75,8399.45,8476.75,166168844,8329.6,8403.95,8328.05,8398,197522658,NA,70.1937479534891,NA,0.096148544701417,0.00646884171457174,NA,75.9000000000015,NA,987338240,0.222739480752016
"18",18,"2017-01-25",8499.45,8612.15,8494.1,8597.5,302719956,8407.05,8480.75,8399.45,8476.75,166168844,NA,74.4248006949063,NA,0.0940233276711167,0.00933353936397019,NA,82.75,NA,1153507084,0.0155732918045552
"19",19,"2017-01-27",8610.5,8672.55,8610.05,8641.95,282394123,8499.45,8612.15,8494.1,8597.5,302719956,NA,79.2813135958609,NA,0.116378531254426,0.0141443416983122,NA,135.4,NA,1456227040,0.0381361447351286
"20",20,"2017-01-30",8635.45,8662.55,8617.8,8633.7,172216438,8610.5,8672.55,8610.05,8641.95,282394123,NA,80.7318071823148,NA,0.114695058662268,0.00515678847096446,8565.13145859507,75.0499999999993,NA,1738621163,0.068833652007645
"21",21,"2017-01-31",8629.45,8629.45,8552.85,8556.55,304895769,8635.45,8662.55,8617.8,8633.7,172216438,NA,79.6176921168553,NA,0.116846961790453,-0.000955101617265086,8603.28036103061,44.75,170.32437588672,1566404725,0.0946868145259532
"22",22,"2017-02-01",8570.35,8722.4,8537.8,8715.5,274599281,8629.45,8629.45,8552.85,8556.55,304895769,NA,69.9026305504313,NA,0.129387434828174,-0.00897607864890659,8604.31953171784,80.8500000000004,121.868457745003,1261508956,0.331428571428571
"23",23,"2017-02-02",8725.15,8756.9,8685.8,8722.3,230914571,8570.35,8722.4,8537.8,8715.5,274599281,NA,76.3150012850845,NA,0.156195552929808,0.018405978143706,8655.9814713773,184.6,153.572911012486,1536108237,0.0174971472042592
"24",24,"2017-02-03",8735.15,8747.7,8707.75,8738.55,164460814,8725.15,8756.9,8685.8,8722.3,230914571,NA,76.5452272896395,NA,0.156844046769211,0.000779914937053761,8694.78057242613,71.1000000000004,160.833248791049,1767022808,0.0806808907543438
"25",25,"2017-02-06",8785.45,8814,8770.2,8796.1,156601918,8735.15,8747.7,8707.75,8738.55,164460814,NA,77.1176421761543,NA,0.132793748789696,0.00186130740387469,8727.03515833728,39.9500000000007,139.003028858236,1931483622,0.0427888539116249
"26",26,"2017-02-07",8805.7,8808.35,8741.25,8770.75,180940436,8785.45,8814,8770.2,8796.1,156601918,NA,79.0661635080211,NA,0.132825840882924,0.00656416941817994,8768.03252053112,75.4500000000007,144.784535486851,2088085540,0.0368350653359391
"27",27,"2017-02-08",8774.55,8791.15,8715.15,8775.8,180500647,8805.7,8808.35,8741.25,8770.75,180940436,2.14406646423546,75.9963333369123,NA,0.136493227079907,-0.00288611989018683,8788.02472099043,67.1000000000004,118.815896665323,1907145104,0.0890009260211955
"28",28,"2017-02-09",8795.55,8821.2,8724.45,8786.55,168765538,8774.55,8791.15,8715.15,8775.8,180500647,2.11082545445784,76.1946215376839,NA,0.121718955796974,0.000575611745835758,8802.50628589326,76,101.524598263653,2087645751,0.0786089103817279
"29",29,"2017-02-10",8812.35,8821.65,8771.2,8794.05,210667205,8795.55,8821.2,8724.45,8786.55,168765538,2.06998301822519,76.6370556746357,NA,0.120528427661355,0.00122420989703187,8814.87142319538,96.75,99.3317984739401,2256411289,0.0702625975869438
"30",30,"2017-02-13",8818.85,8826.45,8754.3,8802.05,164759623,8812.35,8821.65,8771.2,8794.05,210667205,2.0207173029718,76.9588038127829,64.8198465717669,0.119551614154083,0.000853213252673513,8824.69200525067,50.4499999999989,97.4764302642953,2467078494,0.0559157212317673
