"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"16",19,19,"2017-01-27",8610.5,8672.55,1,8641.95,282394123,8499.45,8612.15,1,8597.5,302719956,NA,79.2813135958609,NA,0.116378531254426,0.0141443416983122,NA,8611.15,NA,1456227040,0.00170128263936868
"17",20,20,"2017-01-30",8635.45,8662.55,1,8633.7,172216438,8610.5,8672.55,1,8641.95,282394123,NA,80.7318071823148,NA,0.114695058662268,0.00515678847096446,8565.13145859507,8671.55,NA,1738621163,0.00352878089845513
"18",21,21,"2017-01-31",8629.45,8629.45,1,8556.55,304895769,8635.45,8662.55,1,8633.7,172216438,NA,79.6176921168553,NA,0.116846961790453,-0.000955101617265086,8603.28036103061,8661.55,163.833901157981,1566404725,0.0044801679053916
"19",22,22,"2017-02-01",8570.35,8722.4,1,8715.5,274599281,8629.45,8629.45,1,8556.55,304895769,NA,69.9026305504313,NA,0.129387434828174,-0.00897607864890659,8604.31953171784,8632.7,119.17564039212,1261508956,0.0133770779157129
"20",23,23,"2017-02-02",8725.15,8756.9,1,8722.3,230914571,8570.35,8722.4,1,8715.5,274599281,NA,76.3150012850845,NA,0.156195552929808,0.018405978143706,8655.9814713773,8721.4,173.413482905001,1536108237,0.000791157382988928
"21",24,24,"2017-02-03",8735.15,8747.7,1,8738.55,164460814,8725.15,8756.9,1,8722.3,230914571,NA,76.5452272896395,NA,0.156844046769211,0.000779914937053761,8694.78057242613,8755.9,153.617017293329,1767022808,0.00395162119256734
"22",25,25,"2017-02-06",8785.45,8814,1,8796.1,156601918,8735.15,8747.7,1,8738.55,164460814,NA,77.1176421761543,NA,0.132793748789696,0.00186130740387469,8727.03515833728,8746.7,131.567274700724,1931483622,0.00209572973652056
"23",26,26,"2017-02-07",8805.7,8808.35,1,8770.75,180940436,8785.45,8814,1,8796.1,156601918,NA,79.0661635080211,NA,0.132825840882924,0.00656416941817994,8768.03252053112,8813,138.291840170107,2088085540,0.00203109043458523
"24",27,27,"2017-02-08",8774.55,8791.15,1,8775.8,180500647,8805.7,8808.35,1,8770.75,180940436,2.14406646423546,75.9963333369123,NA,0.136493227079907,-0.00288611989018683,8788.02472099043,8807.35,115.441989029982,1907145104,0.00490752297741972
"25",28,28,"2017-02-09",8795.55,8821.2,1,8786.55,168765538,8774.55,8791.15,1,8775.8,180500647,2.11082545445784,76.1946215376839,NA,0.121718955796974,0.000575611745835758,8802.50628589326,8790.15,101.416718666943,2087645751,0.00433450584364016
"26",29,29,"2017-02-10",8812.35,8821.65,1,8794.05,210667205,8795.55,8821.2,1,8786.55,168765538,2.06998301822519,76.6370556746357,NA,0.120528427661355,0.00122420989703187,8814.87142319538,8820.2,100.560553742605,2256411289,0.00392848234733923
"27",30,30,"2017-02-13",8818.85,8826.45,1,8802.05,164759623,8812.35,8821.65,1,8794.05,210667205,2.0207173029718,76.9588038127829,99.707821143818,0.119551614154083,0.000853213252673513,8824.69200525067,8820.65,93.452607098861,2467078494,0.00312902110388694
"28",31,31,"2017-02-14",8819.9,8819.9,1,8784.15,165140165,8818.85,8826.45,1,8802.05,164759623,1.96593695526031,77.3176350228833,99.7138801311289,0.100171063437411,0.000909292462672795,8832.89778314716,8825.45,87.6972680820843,2631838117,0.00276473154343421
"29",32,32,"2017-02-15",8777.65,8807.65,1,8728.2,195106257,8819.9,8819.9,1,8784.15,165140165,1.88380454808303,74.5211502124009,99.6815579933087,0.0427298731931712,-0.00203568777581431,8831.45379039532,8818.9,75.9191868490395,2466697952,0.00479295673308455
"30",33,33,"2017-02-16",8739,8783.8,1,8777.8,182528709,8777.65,8807.65,1,8728.2,195106257,1.74654358533683,66.4329949680006,99.6056823443342,0.0579109278466542,-0.00638979809876972,8810.42752118474,8806.65,54.6435117927669,2271591695,0.0111325768091145
"31",34,34,"2017-02-17",8883.7,8885.9,1,8816.95,279020714,8739,8783.8,1,8777.8,182528709,1.66443938002498,69.5845864884579,99.6438934039437,0.0649138518480723,0.00566664374783166,8810.03051382279,8782.8,56.153345849354,2454120404,0.00551246678639633
