"","Date","open","high","low","close","volume"
"79",2017-04-27,9359.15,9367.05,9322.95,9328.7,224683429
"80",2017-04-28,9340.95,9341.5,9282.5,9304.65,166988869
"81",2017-05-02,9339.85,9352.55,9270,9317.3,154902678
"82",2017-05-03,9344.7,9344.75,9298.55,9304,148762869
"83",2017-05-04,9360.95,9365.5,9323.45,9356.75,277837257
"84",2017-05-05,9374.55,9374.55,9272.05,9277.6,218842893
"85",2017-05-08,9311.45,9338.6,9298.25,9310.75,154994968
"86",2017-05-09,9337.35,9337.75,9307.75,9317.3,134520942
"87",2017-05-10,9339.65,9414.4,9336.65,9412.45,149758266
"88",2017-05-11,9448.6,9450.3,9411.6,9412.4,169070256
"89",2017-05-12,9436.65,9436.85,9372.6,9408.55,151328654
"90",2017-05-15,9433.55,9449.05,9423.8,9445.6,140786494
"91",2017-05-16,9461,9517.1,9456.6,9510.25,170050127
"92",2017-05-17,9517.6,9532.2,9486.15,9516.55,207352209
"93",2017-05-18,9453.2,9489.05,9419.5,9423.75,206405694
"94",2017-05-19,9469.9,9505.35,9390.75,9435.4,238989568
"95",2017-05-22,9480.25,9498.6,9427.95,9438,192520409
"96",2017-05-23,9445.05,9448,9370.4,9379.4,225696040
"97",2017-05-24,9410.9,9431.75,9341.9,9370.15,198943824
"98",2017-05-25,9384.05,9522.7,9379.3,9501.25,300236120
"99",2017-05-26,9507.75,9604.45,9496.1,9580.9,221697874
"100",2017-05-29,9560.05,9637.5,9550.15,9598.45,234570106
"101",2017-05-30,9590.65,9634.75,9581.45,9625.85,178132701
"102",2017-05-31,9636.55,9649.35,9609.3,9625.7,492803293
"103",2017-06-01,9603.55,9634.6,9590.05,9616.6,165119728
"104",2017-06-02,9657.15,9672.65,9637.65,9642.35,146362127
"105",2017-06-05,9656.3,9687.05,9641.25,9676.45,150868754
"106",2017-06-06,9704.25,9706.3,9630.5,9636.9,156774424
"107",2017-06-07,9663.95,9678.4,9631,9662.15,170991332
"108",2017-06-08,9682.4,9688.25,9641.95,9642.7,165397772
"109",2017-06-09,9638.55,9676,9608.3,9666.65,152880449
"110",2017-06-12,9646.7,9646.7,9598.55,9618.1,134411590
"111",2017-06-13,9615.55,9653.65,9595.8,9597.5,125610136
"112",2017-06-14,9621.55,9624.7,9580.65,9613,180008591
"113",2017-06-15,9617.9,9617.9,9560.8,9574.15,156760976
"114",2017-06-16,9595.45,9615.4,9565.7,9578,204337166
"115",2017-06-19,9626.4,9672.65,9615.05,9654.15,139179400
"116",2017-06-20,9670.5,9676.45,9643.9,9649.95,148495090
