"","timestamp","open","high","low","close","volume","Date","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"1","2017-01-04",225.62,226.75,225.61,226.58,78744400,2017-01-04,225.04,225.83,223.88,225.24,91366500,NA,NA,NA,NA,NA,NA,NA,NA,91366500,NA
"2","2017-01-05",226.27,226.58,225.48,226.4,78379000,2017-01-05,225.62,226.75,225.61,226.58,78744400,NA,NA,NA,NA,0.00593158305892505,NA,1.50999999999999,NA,170110900,NA
"3","2017-01-06",226.53,227.75,225.9,227.21,71559900,2017-01-06,226.27,226.58,225.48,226.4,78379000,NA,NA,NA,NA,-0.000794737116314614,NA,1.10000000000002,NA,91731900,NA
"4","2017-01-09",226.91,227.07,226.42,226.46,46939700,2017-01-09,226.53,227.75,225.9,227.21,71559900,NA,NA,NA,NA,0.00357135363388394,NA,1.84999999999999,NA,163291800,NA
"5","2017-01-10",226.48,227.45,226.01,226.46,63771900,2017-01-10,226.91,227.07,226.42,226.46,46939700,NA,NA,NA,NA,-0.00330637107701826,NA,0.79000000000002,NA,116352100,NA
"6","2017-01-11",226.36,227.1,225.59,227.1,74650000,2017-01-11,226.48,227.45,226.01,226.46,63771900,NA,NA,NA,NA,0,NA,1.44,NA,116352100,NA
"7","2017-01-12",226.5,226.75,224.96,226.53,72113200,2017-01-12,226.36,227.1,225.59,227.1,74650000,NA,NA,NA,NA,0.0028221202256189,NA,1.50999999999999,NA,191002100,NA
"8","2017-01-13",226.73,227.4,226.69,227.05,62717900,2017-01-13,226.5,226.75,224.96,226.53,72113200,NA,NA,NA,NA,-0.0025130626280685,NA,2.13999999999999,NA,118888900,NA
"9","2017-01-17",226.31,226.78,225.8,226.25,61240800,2017-01-17,226.73,227.4,226.69,227.05,62717900,NA,NA,NA,NA,0.0022928710605159,NA,0.870000000000005,NA,181606800,NA
"10","2017-01-18",226.54,226.8,225.9,226.75,54793300,2017-01-18,226.31,226.78,225.8,226.25,61240800,NA,NA,NA,0.0538645388496173,-0.0035296749639242,NA,1.25,NA,120366000,NA
"11","2017-01-19",226.84,227,225.41,225.91,66608800,2017-01-19,226.54,226.8,225.9,226.75,54793300,NA,NA,NA,0.0445707088740189,0.0022075064152105,NA,0.900000000000006,NA,175159300,NA
"12","2017-01-20",226.7,227.31,225.97,226.74,129168600,2017-01-20,226.84,227,225.41,225.91,66608800,NA,NA,NA,0.0489772483043823,-0.00371139912611529,NA,1.59,NA,108550500,NA
"13","2017-01-23",226.74,226.81,225.27,226.15,75061600,2017-01-23,226.7,227.31,225.97,226.74,129168600,NA,NA,NA,0.0492220492799275,0.00366729672032129,NA,1.40000000000001,NA,237719100,NA
"14","2017-01-24",226.4,228.08,226.27,227.6,95555300,2017-01-24,226.74,226.81,225.27,226.15,75061600,NA,NA,NA,0.0479255046645377,-0.00260549066559967,NA,1.53999999999999,NA,162657500,0.413436692506458
