"","timestamp","open","high","low","close","volume","Date"
"1","2017-01-03",225.04,225.83,223.88,225.24,91366500,2017-01-03
"2","2017-01-04",225.62,226.75,225.61,226.58,78744400,2017-01-04
"3","2017-01-05",226.27,226.58,225.48,226.4,78379000,2017-01-05
"4","2017-01-06",226.53,227.75,225.9,227.21,71559900,2017-01-06
"5","2017-01-09",226.91,227.07,226.42,226.46,46939700,2017-01-09
"6","2017-01-10",226.48,227.45,226.01,226.46,63771900,2017-01-10
"7","2017-01-11",226.36,227.1,225.59,227.1,74650000,2017-01-11
"8","2017-01-12",226.5,226.75,224.96,226.53,72113200,2017-01-12
"9","2017-01-13",226.73,227.4,226.69,227.05,62717900,2017-01-13
"10","2017-01-17",226.31,226.78,225.8,226.25,61240800,2017-01-17
"11","2017-01-18",226.54,226.8,225.9,226.75,54793300,2017-01-18
"12","2017-01-19",226.84,227,225.41,225.91,66608800,2017-01-19
"13","2017-01-20",226.7,227.31,225.97,226.74,129168600,2017-01-20
"14","2017-01-23",226.74,226.81,225.27,226.15,75061600,2017-01-23
"15","2017-01-24",226.4,228.08,226.27,227.6,95555300,2017-01-24
"16","2017-01-25",228.7,229.57,228.51,229.57,84437700,2017-01-25
"17","2017-01-26",229.4,229.71,229.01,229.33,59970700,2017-01-26
"18","2017-01-27",229.42,229.59,228.76,228.97,59711100,2017-01-27
"19","2017-01-30",228.17,228.2,226.41,227.55,79737300,2017-01-30
"20","2017-01-31",226.98,227.6,226.32,227.53,75880800,2017-01-31
"21","2017-02-01",227.53,228.59,226.94,227.62,79117700,2017-02-01
"22","2017-02-02",227.62,228.1,226.82,227.77,69657600,2017-02-02
"23","2017-02-03",228.82,229.55,228.46,229.34,80563200,2017-02-03
"24","2017-02-06",228.87,229.33,228.54,228.93,57790100,2017-02-06
"25","2017-02-07",229.38,229.66,228.72,228.94,57931200,2017-02-07
"26","2017-02-08",228.94,229.39,228.31,229.24,51566200,2017-02-08
"27","2017-02-09",229.24,230.95,229.24,230.6,65955200,2017-02-09
"28","2017-02-10",231,231.77,230.62,231.51,66015900,2017-02-10
"29","2017-02-13",232.08,233.07,232.05,232.77,55182100,2017-02-13
"30","2017-02-14",232.56,233.71,232.16,233.7,71109000,2017-02-14
"31","2017-02-15",233.45,235.14,233.39,234.92,86785800,2017-02-15
"32","2017-02-16",234.95,235.16,233.85,234.72,84722400,2017-02-16
"33","2017-02-17",233.95,235.09,233.93,235.09,77204100,2017-02-17
"34","2017-02-21",235.52,236.69,235.51,236.49,88946100,2017-02-21
"35","2017-02-22",236.02,236.54,235.83,236.28,62115200,2017-02-22
"36","2017-02-23",236.88,236.9,235.56,236.44,74615900,2017-02-23
"37","2017-02-24",235.46,236.79,235.41,236.74,82381600,2017-02-24
"38","2017-02-27",236.64,237.31,236.35,237.11,56515400,2017-02-27
"39","2017-02-28",236.67,236.95,236.02,236.47,96961900,2017-02-28
"40","2017-03-01",238.39,240.32,238.37,239.78,149158200,2017-03-01
"41","2017-03-02",239.56,239.57,238.21,238.27,70246000,2017-03-02
"42","2017-03-03",238.17,238.61,237.73,238.42,81974300,2017-03-03
"43","2017-03-06",237.5,238.12,237.01,237.71,55391500,2017-03-06
"44","2017-03-07",237.36,237.77,236.76,237,65103700,2017-03-07
"45","2017-03-08",237.34,237.64,236.4,236.56,78168800,2017-03-08
"46","2017-03-09",236.7,237.24,235.74,236.86,90683900,2017-03-09
"47","2017-03-10",237.97,238.02,236.59,237.69,81991700,2017-03-10
"48","2017-03-13",237.62,237.86,237.24,237.81,57256800,2017-03-13
"49","2017-03-14",237.18,237.24,236.19,236.9,59880800,2017-03-14
"50","2017-03-15",237.56,239.44,237.29,238.95,96081800,2017-03-15
"51","2017-03-16",239.11,239.2,238.1,238.48,78344000,2017-03-16
"52","2017-03-17",237.75,237.97,237.03,237.03,89002100,2017-03-17
"53","2017-03-20",237.03,237.36,236.32,236.77,52537000,2017-03-20
"54","2017-03-21",237.47,237.61,233.58,233.73,131809300,2017-03-21
"55","2017-03-22",233.77,234.61,233.05,234.28,97569200,2017-03-22
"56","2017-03-23",234.28,235.34,233.6,234.03,100410300,2017-03-23
"57","2017-03-24",234.38,235.04,232.96,233.86,112504900,2017-03-24
"58","2017-03-27",231.93,233.92,231.61,233.62,87454500,2017-03-27
"59","2017-03-28",233.27,235.81,233.14,235.32,93483900,2017-03-28
"60","2017-03-29",234.99,235.81,234.73,235.54,61950400,2017-03-29
"61","2017-03-30",235.47,236.52,235.27,236.29,56737900,2017-03-30
"62","2017-03-31",235.9,236.51,235.68,235.74,73733100,2017-03-31
"63","2017-04-03",235.8,236.03,233.91,235.33,85546500,2017-04-03
"64","2017-04-04",235,235.58,234.56,235.48,56466200,2017-04-04
"65","2017-04-05",236.26,237.39,234.54,234.78,108800600,2017-04-05
"66","2017-04-06",234.94,236.04,234.43,235.44,69135800,2017-04-06
"67","2017-04-07",235.15,236,234.64,235.2,74412300,2017-04-07
"68","2017-04-10",235.36,236.26,234.73,235.34,67615300,2017-04-10
"69","2017-04-11",234.9,235.18,233.34,235.06,88045300,2017-04-11
"70","2017-04-12",234.74,234.96,233.77,234.03,81864400,2017-04-12
